slug,title,author,isbn,status,first_published,date_updated,notes
amaryllis-at-the-fair,Amaryllis at the Fair,Richard Jefferies,,read,1887,,
american-caesar-douglas-macarthur-1880-1964,American Caesar: Douglas MacArthur 1880-1964,William Manchester,,read,,,
american-gods,American Gods,Neil Gaiman,9780380789030,read,2001,,
american-indian-stories,American Indian Stories,Zitkala-Sa,1407607553,read,2010,,
american-pastoral,American Pastoral,Philip Roth,9780099771814,read,1997,,
americana,Americana,Don DeLillo,9781101659854,read,1971,,
americanah,Americanah,Chimamanda Ngozi Adichie,9780345807465,read,1969,,
amerika,Amerika,Franz Kafka,9780805210644,read,1927,,
an-american-tragedy,An American Tragedy,Theodore Dreiser,,read,2022,,
an-angel-at-my-table,An Angel at My Table,Janet Frame,9780349006697,read,1984,,
an-antarctic-mystery,An Antarctic Mystery,Jules Verne,9781680575361,read,2023,,
an-artist-of-the-floating-world,An Artist of the Floating World,Kazuo Ishiguro,9780307829061,read,1986,,
an-autobiography,An Autobiography,"Ellen Glasgow, Ellen Anderson Gholson Glasgow",0813915635,read,1994,,
an-enemy-of-the-people,An Enemy of the People,Henrik Ibsen,9780486406572,read,1950,,
an-enemy-of-the-people-the-wild-duck,An Enemy of the People ; The Wild Duck,H. Ibsen,,read,1907,,
an-enquiry-concerning-human-understanding,An Enquiry Concerning Human Understanding,David Hume,,read,1953,,
an-enquiry-concerning-the-principles-of-morals,An Enquiry Concerning the Principles of Morals,David Hume,9783968656243,read,1751,,
an-episode-in-the-life-of-a-landscape-painter,An Episode in the Life of a Landscape Painter,César Aira,9780811216302,want,2006,,
an-essay-concerning-human-understanding,An Essay Concerning Human Understanding,John Locke,9781603844550,read,1793,,
an-essay-on-the-principle-of-population,An Essay on the Principle of Population,Thomas Malthus,,read,2006,,
an-experiment-in-criticism,An Experiment in Criticism,C.S. Lewis,9780062313713,read,1961,,
an-ideal-husband,An Ideal Husband,Oscar Wilde,048641423X,read,2020,,
an-inquiry-into-the-accordancy-of-war-with-the-principles-of-christianity,An Inquiry Into the Accordancy of War with the Principles of Christianity,Jonathan Dymond,,read,1834,,
an-outback-marriage,An Outback Marriage,Andrew Barton Paterson,1404354271,read,2003,,
an-unsuitable-job-for-a-woman,An Unsuitable Job for a Woman,P.D. James,9780743219556,read,2001,,
anabasis,Anabasis,Xenophon,9781425000660,read,2011,,
anarchy-state-and-utopia,"Anarchy, State, and Utopia",Robert Nozick,0465097200,read,1974,,
anarchy-state-and-utopia-2,Anarchy State and Utopia,Robert Nozick,0465097200,read,1974,,
anathem,Anathem,Neal Stephenson,9780061474101,read,2008,,
anatomy-of-criticism,Anatomy of Criticism,Northrop Frye,9780691204253,read,1957,,
